Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-12-18,21.5,25,19,20,29503
2018-12-19,21,21,18.18,18.19,6439
2018-12-20,18.19,18.19,16.4,17.8,2741
2018-12-21,17,19.44,17,19.44,2030
2018-12-27,19.9,19.9,18.1,18.44,1293
2018-12-28,18.35,18.9,17.8,18.8,1621
2019-01-02,19.15,19.15,18,18.9,365
2019-01-03,18.89,18.89,18,18.69,740
2019-01-04,18.69,18.69,18,18,1048
2019-01-07,18,18.48,18,18.46,992
2019-01-08,18.46,18.46,17.8,18.44,318
2019-01-09,18.4,18.69,18,18.69,523
2019-01-10,18.46,18.68,18.46,18.68,35
2019-01-11,18.03,18.63,17.9,18.63,797
2019-01-14,18.1,18.55,18.03,18.55,873
2019-01-15,18.57,18.88,18.3,18.84,1836
2019-01-16,18.83,18.9,18.5,18.9,1153
2019-01-17,18.7,19,18.7,19,2330
2019-01-18,19,20.8,19,20.43,8457
2019-01-21,20.5,21.5,20.43,21.28,1880
2019-01-22,21.1,21.3,20.44,20.8,1015
2019-01-23,20.8,21.08,19.16,21,2920
2019-01-24,21.05,22.5,21.05,22.2,1799
2019-01-25,22,26.4,22,24.9,6678
2019-01-28,24.88,27.2,23.55,25.9,8326
2019-01-29,25.98,28,25,28,10702
2019-01-30,27.8,28.5,26.65,27,3936
2019-01-31,26.65,26.75,25,26.5,5192
2019-02-01,26.5,26.5,25.5,25.99,2774
2019-02-04,26,26.9,25.99,25.99,2770
2019-02-05,25.7,26.8,25.5,26.79,1079
2019-02-06,27.25,27.3,26.45,27.25,1719
2019-02-07,27.25,27.25,25.5,26.99,1308
2019-02-08,25.44,26.29,25.4,26.29,773
2019-02-11,26.29,26.29,25.45,26,828
2019-02-12,25.4,26.68,25,26.68,925
2019-02-13,26.68,26.68,22.27,26.19,946
2019-02-14,26.59,28.54,26.15,26.6,12788
2019-02-15,26.6,28.22,26.2,28.22,3808
2019-02-18,28.62,28.62,27.7,27.75,1413
2019-02-19,28,28.5,27,28.5,2387
2019-02-20,28.2,29.6,28.1,29,8137
2019-02-21,28.83,28.83,28.06,28.83,480
2019-02-22,28.2,29,28.2,29,222
2019-02-25,28.99,28.99,28.5,28.99,371
2019-02-26,28.96,28.96,28,28.4,631
2019-02-27,28.12,28.3,27.32,28,362
2019-02-28,28,28,27.21,28,462
2019-03-01,28,28.38,27.62,28.38,2190
2019-03-04,28.38,30,28,28,2035
2019-03-05,28.4,28.5,28,28.5,975
2019-03-06,28.5,28.66,28.15,28.6,878
2019-03-07,28.4,28.4,27.57,28,243
2019-03-08,28.15,28.15,27.5,27.99,1033
2019-03-11,28,30.9,27.95,29.99,18200
2019-03-12,30.4,33.34,30,32.8,13185
2019-03-13,33.5,33.5,31,31.32,4434
2019-03-14,31.4,33.2,30.6,31,6945
2019-03-15,31.8,33.195,31.25,32.98,6872
2019-03-18,32.5,32.88,32,32.88,1523
2019-03-19,32.88,32.88,30.55,32.4,5151
2019-03-20,32,32,30.24,30.96,2488
2019-03-21,30.97,31.4,30.97,31.4,708
2019-03-22,30.81,30.81,29.5,30.7,2844
2019-03-25,30.98,30.98,29.16,30,1141
2019-03-26,30,31.6,29.21,31.6,1697
2019-03-27,31.3,31.3,29.45,29.99,1106
2019-03-28,29.9,30.78,29.51,30.2,1477
2019-03-29,30.3,31.2,29.78,30.2,1056
2019-04-01,30.2,30.2,28.8,29.3,4530
2019-04-02,29.6,29.6,28.1,28.5,5760
2019-04-03,31,31,27,28.3,15758
2019-04-04,28.7,28.7,27.5,28.4,4370
