Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-10-19,51.70027,51.79949,47.02016,50.00001,56298
2016-10-20,49.79949,50.00001,48.05996,50.00001,6598
2016-10-21,49.09975,50.00001,49.08011,49.94936,1220
2016-10-24,50.00001,53.00053,49.94006,52.44032,9121
2016-10-25,52.50027,52.50027,51.00053,52.19949,7637
2016-10-26,52.00001,52.00001,50.50027,50.50027,1474
2016-10-27,51.00053,51.00053,49.49975,50.99019,269
2016-10-28,50.10957,50.80001,50.10957,50.80001,199
2016-10-31,50.00001,51.99071,50.00001,51.98037,1481
2016-11-02,51.99071,52.00001,50.86099,51.89975,522
2016-11-03,51.89975,51.89975,50.85066,51.49975,472
2016-11-04,51.39949,51.39949,50.24911,51.00053,124
2016-11-07,51.00053,51.00053,50.50027,50.96952,426
2016-11-08,50.96952,50.96952,50.26978,50.60053,47
2016-11-09,50.90027,51.00053,50.29975,51.00053,645
2016-11-10,51.00053,51.00053,49.79949,50.70079,1003
2016-11-14,51.00053,51.00053,50.90027,50.90027,119
2016-11-15,50.88993,50.88993,49.79949,50.50027,1298
2016-11-16,50.50027,50.50027,49.00983,50.50027,365
2016-11-17,50.90027,50.90027,48.80001,48.80001,839
2016-11-18,49.00053,49.00053,47.02947,47.02947,1632
2016-11-21,46.90957,46.90957,45.1504,45.98967,1470
2016-11-22,45.1504,45.98967,45.1504,45.21965,1154
2016-11-23,45.21965,45.21965,44.89923,45.1504,636
2016-11-24,45.20001,45.20001,41.11009,44.50027,6845
2016-11-25,45.21965,47.00053,44.50027,46.99019,812
2016-11-28,46.99019,46.99019,46.8796,46.8796,223
2016-11-29,46.90027,48.70078,46.00001,48.49923,5493
2016-11-30,48.49923,50.50027,47.49975,50.00001,3059
2016-12-01,50.00001,50.00001,47.79949,50.00001,342
2016-12-02,50.00001,50.00001,48.40001,49.94006,337
2016-12-05,49.94936,49.94936,48.49923,48.54988,108
2016-12-06,49.9597,49.9597,48.29975,49.64962,788
2016-12-07,49.64962,49.64962,48.40931,49.58967,184
2016-12-08,48.40001,49.49975,48.40001,49.49975,576
2016-12-09,49.58967,49.58967,48.38037,49.48942,538
2016-12-12,49.48942,49.5504,48.38037,48.38037,745
2016-12-13,48.38037,49.98037,48.38037,49.48942,849
2016-12-14,49.70027,49.70027,49.00053,49.00053,89
2016-12-15,49.00053,49.00053,48.40001,49.00053,270
2016-12-16,49.00053,49.00053,47.3106,48.00001,710
2016-12-19,46.31009,48.79071,46.05996,48.40001,4503
2016-12-20,46.90027,48.49923,46.90027,47.98967,310
2016-12-21,47.98967,47.98967,46.10957,46.10957,1477
2016-12-22,47.48942,47.48942,46.02068,46.02068,54
2016-12-23,46.49097,46.49097,46.00001,46.25014,922
2016-12-27,46.29975,47.26926,45.64962,47.25996,1595
2016-12-28,47.00053,47.00053,45.64962,46.40001,651
2016-12-29,47.20001,49.00053,46.90027,48.49923,2492
2016-12-30,48.00001,49.64962,48.00001,49.64962,1826
2017-01-02,49.78089,49.78089,47.64962,49.48011,2376
2017-01-03,49.78089,49.78089,46.99019,46.99019,974
2017-01-04,47.98037,47.98037,47.00053,47.00053,77
2017-01-05,47.00053,47.8398,46.00001,46.00001,2463
2017-01-09,46.00001,46.49923,46.00001,46.02998,684
2017-01-10,46.02998,46.08063,45.40053,46.00001,2193
2017-01-11,46.00001,46.00001,45.41086,45.46978,906
2017-01-12,45.89975,45.89975,44.50027,45.30027,1094
2017-01-13,45.89975,45.89975,44.51991,45.00053,636
2017-01-16,44.51991,44.94058,44.00001,44.50957,899
2017-01-17,44.54988,44.54988,43.70027,43.74988,1796
2017-01-18,43.74988,43.89975,43.60001,43.89975,283
2017-01-19,44.00001,44.00001,42.99949,43.74988,1916
2017-01-20,43.98967,43.98967,42.99949,43.88941,406
2017-01-23,43.97934,43.97934,42.99949,43.88011,394
2017-01-24,44.04962,44.04962,42.99949,43.50078,557
2017-01-25,43.02016,43.50078,42.80001,43.09975,1414
2017-01-26,44.10027,44.48993,43.12972,44.48993,336
2017-01-27,44.48993,44.48993,43.30027,43.65996,500
2017-01-30,43.12972,44.80931,43.12972,44.80001,2447
2017-01-31,44.80001,48.90027,44.80001,47.05014,3228
2017-02-01,46.99019,47.98967,46.99019,47.9597,948
2017-02-02,48.00001,48.29975,47.60001,48.00001,1511
2017-02-03,48.00001,48.00001,47.49975,47.49975,165
2017-02-06,47.49975,47.98967,47.49975,47.98967,329
2017-02-07,47.98967,47.98967,47.40053,47.85014,744
2017-02-08,47.98967,47.98967,47.74988,47.94006,94
2017-02-09,47.94936,48.90027,47.40053,48.69045,765
2017-02-10,48.01035,48.70078,48.00001,48.00001,289
2017-02-13,48.01035,49.09975,48.00001,49.00053,1387
2017-02-14,49.34988,49.34988,48.19949,48.59949,485
2017-02-15,49.00053,49.22998,48.03929,49.22998,164
2017-02-16,49.22998,49.22998,48.10957,49.09045,192
2017-02-17,49.00053,49.00053,48.03929,48.11991,102
2017-02-20,49.18967,49.34988,49.00053,49.34988,1257
2017-02-21,49.34988,50.50027,48.49923,50.14988,8715
2017-02-22,50.14988,50.77004,49.49975,50.09923,1372
2017-02-23,50.50027,50.54058,49.79949,50.00001,597
2017-02-24,50.00001,50.00001,49.30027,50.00001,786
2017-02-27,51.1504,54.00001,51.1504,52.05996,7130
2017-02-28,52.56952,57.24962,51.94936,56.00001,21419
2017-03-01,57.49975,58.9995,56.60053,57.23929,20049
2017-03-02,58.00001,62.69975,58.00001,61.80053,29683
2017-03-03,63.50079,66.9995,62.00001,64.5995,15297
2017-03-06,64.80001,64.99019,62.5995,64.44963,17042
2017-03-07,61.80053,62.84963,57.20001,59.00983,12369
2017-03-08,58.94988,60.9995,56.10957,56.99949,5960
2017-03-09,58.00001,59.49975,56.50027,58.96022,4348
2017-03-10,59.89045,62.00001,58.22947,61.80053,4606
2017-03-13,62.69975,63.09975,62.01035,62.97056,7760
2017-03-14,62.69975,63.05014,61.80053,62.88063,1523
2017-03-15,62.69975,63.21965,61.50079,63.20001,3490
2017-03-16,63.21965,63.21965,62.54988,62.9995,3834
2017-03-17,62.50027,64.00001,62.50027,62.9995,4211
2017-03-20,63.88012,64.9995,63.60001,64.20053,10431
2017-03-21,64.48063,65.50079,64.29975,64.5995,4821
2017-03-22,64.89924,65.39019,62.9995,64.50027,2911
2017-03-23,65.09975,65.25066,63.50079,64.50027,2849
2017-03-24,64.9995,65.40053,62.80001,64.00001,2932
2017-03-27,64.00001,64.00001,61.51009,63.98968,1830
2017-03-28,64.00001,64.00001,60.50027,63.79019,2052
2017-03-29,63.70027,63.70027,60.52094,61.89045,1831
2017-03-30,61.89045,61.89045,60.06099,61.68993,610
2017-03-31,63.08012,63.08012,60.10027,61.17004,1559
2017-04-03,62.9995,62.9995,58.10027,58.9995,2322
2017-04-04,59.90079,59.98968,58.9995,59.9504,413
2017-04-05,59.49975,60.00001,58.51061,60.00001,634
2017-04-06,60.00931,60.98916,59.49975,60.88993,1068
2017-04-07,60.88063,60.88063,59.6796,60.00001,167
2017-04-10,60.00931,60.98916,58.10957,59.98968,2553
2017-04-11,58.50027,59.9597,56.90027,58.00001,3455
2017-04-12,57.49975,58.50027,57.49975,58.50027,594
2017-04-13,58.50027,58.50027,56.40001,57.49975,4580
2017-04-18,56.99949,57.90079,56.99949,57.90079,1124
2017-04-19,57.99071,57.99071,57.09975,57.69924,201
2017-04-20,57.99071,61.40983,57.99071,60.82999,10867
2017-04-21,60.82999,60.98089,59.64962,60.97055,1775
2017-04-24,60.97055,60.97055,60.05066,60.97055,1359
2017-04-25,60.50027,60.50027,59.14937,60.10027,717
2017-04-26,60.00001,60.00001,56.40001,57.39949,2885
2017-04-27,58.00001,59.98037,58.00001,59.60001,167
2017-04-28,59.60001,59.60001,58.50027,59.60001,817
2017-05-02,59.70027,59.70027,58.50027,59.34058,511
